"Step","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_overall","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_overall__MIN","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_overall__MAX"
"670","0.4947129619692343","0.4947129619692343","0.4947129619692343"
"680","0.4975200033978988","0.4975200033978988","0.4975200033978988"
"690","0.5021211029215361","0.5021211029215361","0.5021211029215361"
"700","0.5005400151390693","0.5005400151390693","0.5005400151390693"
"710","0.49884015324225095","0.49884015324225095","0.49884015324225095"
"720","0.49708672112030017","0.49708672112030017","0.49708672112030017"
"730","0.4958933721692895","0.4958933721692895","0.4958933721692895"
"740","0.4955167944979316","0.4955167944979316","0.4955167944979316"
"750","0.4980435732359335","0.4980435732359335","0.4980435732359335"
"760","0.49886506890428484","0.49886506890428484","0.49886506890428484"
"770","0.5007546567181995","0.5007546567181995","0.5007546567181995"
"780","0.5018520678254152","0.5018520678254152","0.5018520678254152"
"790","0.5008451989814768","0.5008451989814768","0.5008451989814768"
"800","0.5005876759722232","0.5005876759722232","0.5005876759722232"
"810","0.497885691981684","0.497885691981684","0.497885691981684"
"820","0.4956077333896484","0.4956077333896484","0.4956077333896484"
"830","0.5008803508622718","0.5008803508622718","0.5008803508622718"
"840","0.5034905245957244","0.5034905245957244","0.5034905245957244"
"850","0.5014393075181856","0.5014393075181856","0.5014393075181856"
"860","0.5019356394461345","0.5019356394461345","0.5019356394461345"
"870","0.5014745113534371","0.5014745113534371","0.5014745113534371"
"880","0.5010731320331689","0.5010731320331689","0.5010731320331689"
"890","0.5008080432818274","0.5008080432818274","0.5008080432818274"
"900","0.5013306466748264","0.5013306466748264","0.5013306466748264"
"910","0.49931695087310657","0.49931695087310657","0.49931695087310657"
"920","0.4996647241922001","0.4996647241922001","0.4996647241922001"
"930","0.4996334825923298","0.4996334825923298","0.4996334825923298"
"940","0.49929288514474457","0.49929288514474457","0.49929288514474457"
"950","0.4981801584392348","0.4981801584392348","0.4981801584392348"
"960","0.4990163209026254","0.4990163209026254","0.4990163209026254"
"970","0.4991345440610975","0.4991345440610975","0.4991345440610975"
"980","0.4993095641606288","0.4993095641606288","0.4993095641606288"
"990","0.4993598565201873","0.4993598565201873","0.4993598565201873"
