"Step","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_ordering","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_ordering__MIN","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_ordering__MAX"
"590","0.559159510893851","0.559159510893851","0.559159510893851"
"600","0.5557593031150354","0.5557593031150354","0.5557593031150354"
"610","0.5562140340274518","0.5562140340274518","0.5562140340274518"
"620","0.5371006813352457","0.5371006813352457","0.5371006813352457"
"630","0.5399535161935105","0.5399535161935105","0.5399535161935105"
"640","0.5531529169422048","0.5531529169422048","0.5531529169422048"
"650","0.5557977643850773","0.5557977643850773","0.5557977643850773"
"660","0.5698427342957058","0.5698427342957058","0.5698427342957058"
"670","0.5616345240480367","0.5616345240480367","0.5616345240480367"
"680","0.5771952356625197","0.5771952356625197","0.5771952356625197"
"690","0.5770493183109273","0.5770493183109273","0.5770493183109273"
"700","0.5722339518710122","0.5722339518710122","0.5722339518710122"
"710","0.574085216908985","0.574085216908985","0.574085216908985"
"720","0.5723453395043281","0.5723453395043281","0.5723453395043281"
"730","0.5772723809925269","0.5772723809925269","0.5772723809925269"
"740","0.5834791479066186","0.5834791479066186","0.5834791479066186"
"750","0.576347446554501","0.576347446554501","0.576347446554501"
"760","0.5791183878253894","0.5791183878253894","0.5791183878253894"
"770","0.572656813842877","0.572656813842877","0.572656813842877"
"780","0.5724102414898975","0.5724102414898975","0.5724102414898975"
"790","0.5757550201468842","0.5757550201468842","0.5757550201468842"
"800","0.576677942139199","0.576677942139199","0.576677942139199"
"810","0.5728157740699492","0.5728157740699492","0.5728157740699492"
"820","0.5718471151200344","0.5718471151200344","0.5718471151200344"
"830","0.5793347651430341","0.5793347651430341","0.5793347651430341"
"840","0.57772994925351","0.57772994925351","0.57772994925351"
"850","0.5756335771168697","0.5756335771168697","0.5756335771168697"
"860","0.5773104954634276","0.5773104954634276","0.5773104954634276"
"870","0.5776575366461919","0.5776575366461919","0.5776575366461919"
"880","0.5771034645697897","0.5771034645697897","0.5771034645697897"
"890","0.5710177376717716","0.5710177376717716","0.5710177376717716"
"900","0.57317818353338","0.57317818353338","0.57317818353338"
"910","0.573027135269293","0.573027135269293","0.573027135269293"
"920","0.570004441509252","0.570004441509252","0.570004441509252"
"930","0.5731771771085346","0.5731771771085346","0.5731771771085346"
"940","0.5732016306080954","0.5732016306080954","0.5732016306080954"
"950","0.5725931530402277","0.5725931530402277","0.5725931530402277"
"960","0.5737284341872112","0.5737284341872112","0.5737284341872112"
"970","0.5710888786639025","0.5710888786639025","0.5710888786639025"
"980","0.5701107909838194","0.5701107909838194","0.5701107909838194"
"990","0.5699736939518202","0.5699736939518202","0.5699736939518202"
