"Step","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_inferring","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_inferring__MIN","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_inferring__MAX"
"420","0.468272323286407","0.468272323286407","0.468272323286407"
"430","0.46386440731286566","0.46386440731286566","0.46386440731286566"
"440","0.45698564788822577","0.45698564788822577","0.45698564788822577"
"450","0.47262280054525135","0.47262280054525135","0.47262280054525135"
"460","0.47239075204507885","0.47239075204507885","0.47239075204507885"
"470","0.4686664466772535","0.4686664466772535","0.4686664466772535"
"480","0.46978167918209157","0.46978167918209157","0.46978167918209157"
"490","0.4530715024239265","0.4530715024239265","0.4530715024239265"
"500","0.46052424035658096","0.46052424035658096","0.46052424035658096"
"510","0.4542546751469866","0.4542546751469866","0.4542546751469866"
"520","0.465645372363516","0.465645372363516","0.465645372363516"
"530","0.4609143815440019","0.4609143815440019","0.4609143815440019"
"540","0.4590484696233016","0.4590484696233016","0.4590484696233016"
"550","0.45669023379441775","0.45669023379441775","0.45669023379441775"
"560","0.4653354658282942","0.4653354658282942","0.4653354658282942"
"570","0.46417778755538625","0.46417778755538625","0.46417778755538625"
"580","0.4708362083162943","0.4708362083162943","0.4708362083162943"
"590","0.47686550327672794","0.47686550327672794","0.47686550327672794"
"600","0.4834292110954944","0.4834292110954944","0.4834292110954944"
"610","0.4666542633315237","0.4666542633315237","0.4666542633315237"
"620","0.47696398357116476","0.47696398357116476","0.47696398357116476"
"630","0.47224331619175625","0.47224331619175625","0.47224331619175625"
"640","0.47750160156599863","0.47750160156599863","0.47750160156599863"
"650","0.4780868510916698","0.4780868510916698","0.4780868510916698"
"660","0.47401999662749306","0.47401999662749306","0.47401999662749306"
"670","0.4833549459315091","0.4833549459315091","0.4833549459315091"
"680","0.47928429939309186","0.47928429939309186","0.47928429939309186"
"690","0.49157708369199327","0.49157708369199327","0.49157708369199327"
"700","0.48369648204907323","0.48369648204907323","0.48369648204907323"
"710","0.48582030184717184","0.48582030184717184","0.48582030184717184"
"720","0.4793189462948583","0.4793189462948583","0.4793189462948583"
"730","0.4782843131527015","0.4782843131527015","0.4782843131527015"
"740","0.4678985836594889","0.4678985836594889","0.4678985836594889"
"750","0.48872000824246575","0.48872000824246575","0.48872000824246575"
"760","0.4855970856138469","0.4855970856138469","0.4855970856138469"
"770","0.49025606740831307","0.49025606740831307","0.49025606740831307"
"780","0.49521196303508486","0.49521196303508486","0.49521196303508486"
"790","0.4962192733614479","0.4962192733614479","0.4962192733614479"
"800","0.4939617348200213","0.4939617348200213","0.4939617348200213"
"810","0.48678673060248245","0.48678673060248245","0.48678673060248245"
"820","0.481380007603399","0.481380007603399","0.481380007603399"
"830","0.48338025871120427","0.48338025871120427","0.48338025871120427"
"840","0.4859015824189933","0.4859015824189933","0.4859015824189933"
"850","0.4909068902958608","0.4909068902958608","0.4909068902958608"
"860","0.4883130947965719","0.4883130947965719","0.4883130947965719"
"870","0.4882432192050877","0.4882432192050877","0.4882432192050877"
"880","0.4866456888059899","0.4866456888059899","0.4866456888059899"
"890","0.49067481753449005","0.49067481753449005","0.49067481753449005"
"900","0.4931329814881542","0.4931329814881542","0.4931329814881542"
"910","0.49065880152911456","0.49065880152911456","0.49065880152911456"
"920","0.4903901994047393","0.4903901994047393","0.4903901994047393"
"930","0.49202113372805895","0.49202113372805895","0.49202113372805895"
"940","0.49207895993287015","0.49207895993287015","0.49207895993287015"
"950","0.4910586584288762","0.4910586584288762","0.4910586584288762"
"960","0.4899903511096542","0.4899903511096542","0.4899903511096542"
"970","0.4896950780006051","0.4896950780006051","0.4896950780006051"
"980","0.4928767554874749","0.4928767554874749","0.4928767554874749"
"990","0.4935970434639093","0.4935970434639093","0.4935970434639093"
